Центральный федеральный округ,1967.5,2734.5,3489.2,3466.0,7838.2,9902.6,
Белгородская область,3.0,118.0,93.5,132.9,467.3,729.3,
Брянская область,73.6,150.5,90.8,34.0,35.8,90.7,
Владимирская область,63.5,81.4,105.3,65.3,199.9,128.5,
Воронежская область,400.5,231.0,398.0,538.2,346.1,570.1,
Ивановская область,162.0,36.5,13.2,103.6,124.6,222.9,
Калужская область,152.3,733.3,293.2,155.6,1526.1,657.1,
Костромская область,8.7,33.3,54.3,72.3,25.0,44.0,
Курская область,2.3,29.8,79.1,482.8,55.9,106.1,
Липецкая область,2.6,74.5,54.5,103.7,904.1,121.1,
Московская область,552.9,514.5,971.1,373.3,573.1,2326.4,
Орловская область,16.9,52.7,178.6,73.8,102.6,724.6,
Рязанская область,70.5,256.3,190.1,264.1,251.2,23.3,
Смоленская область,35.1,45.4,50.9,44.7,77.9,57.2,
Тамбовская область,9.2,52.5,161.8,40.5,15.1,18.6,
Тверская область,48.5,28.0,19.2,134.7,41.1,93.5,
Тульская область,50.3,102.1,51.2,387.5,630.5,293.2,
Ярославская область,32.3,96.8,296.3,100.1,314.1,117.0,
г. Москва,283.3,98.1,388.2,358.9,2147.9,3579.2,
Северо-Западный федеральный округ,668.4,845.6,1955.7,982.4,1043.3,2935.1,
Республика Карелия,21.3,15.0,5.1,20.1,10.9,11.2,
Республика Коми,0.1,19.7,10.9,16.9,0.8,8.0,
Архангельская область,61.0,1.4,34.4,28.4,11.2,78.4,
в том числе Ненецкий автономный округ,0.0,-,2.6, -,0.2,0.2,
Архангельская область без АО,31.8,28.4,11.0,78.2,
Вологодская область,6.7,23.4,16.2,70.2,142.6,793.5,
Калинингpадская область,98.6,12.1,480.1,6.2,13.0,14.3,
Ленинградская область,130.5,203.1,56.7,48.7,46.0,90.9,
Мурманская область,13.5,65.2,38.7,28.3,24.3,36.4,
Новгородская область,10.9,56.0,70.4,29.3,19.4,26.3,
Псковская область,7.4,71.1,56.5,102.7,107.5,3.8,
г. Санкт-Петербург,318.5,378.7,1186.5,631.5,667.7,1872.3,
Южный федеральный округ,240.0,795.1,1184.8,1069.5,846.4,1601.8,
Республика Адыгея,6.9,159.8,64.6,75.6,95.4,4.4,
Республика Калмыкия,-,-,1.3,11.0,-,-,
Республика Крым2),…,…,…,25.7,56.4,78.2,
Краснодарский край,63.3,249.4,49.5,165.3,245.9,246.4,
Астраханская область,58.6,60.5,14.2,111.6,8.4,13.8,
Волгоградская область,18.6,103.4,183.6,274.7,218.3,189.5,
Ростовская область,92.6,222.1,871.7,318.9,214.1,1066.7,
г. Севастополь2),…,…,…,86.8,7.9,2.9,
Северо-Кавказский федеральный округ,140.4,110.9,63.4,16.4,320.4,864.2,
Республика Дагестан,79.8,-,-, -,54.3,825.4,
Республика Ингушетия,-,-,-, -,-,-,
Кабардино-Балкарская Республика,38.3,30.0,-,0.1,188.4,18.2,
Карачаево-Черкесская Республика,4.6,-,-, -,-,-,
Республика Северная Осетия - Алания,4.5,16.1,0.7,0.3,1.3,0.0,
Чеченская Республика ,-,-,-, -,-,-,
Ставропольский край,13.3,64.8,62.7,15.9,76.4,20.6,
Приволжский федеральный округ,2104.8,2545.0,2967.1,2391.8,4676.1,6975.4,
Республика Башкортостан,484.5,218.4,141.5,37.5,760.2,236.0,
Республика Марий Эл,57.5,43.8,38.0,16.0,34.3,69.6,
Республика Мордовия,11.7,59.7,28.5,42.4,262.6,306.4,
Республика Татарстан,73.1,1014.5,693.2,890.9,882.9,1404.5,
Удмуртская Республика,5.3,56.6,77.9,62.7,211.1,135.0,
Чувашская Республика,51.8,178.2,170.5,90.2,172.4,107.9,
Пермский край,622.6,128.0,370.7,145.6,124.0,156.3,
Кировская область,9.0,68.0,79.1,109.4,238.3,119.0,
Нижегородская область,440.6,495.0,561.7,675.1,631.7,1027.3,
Оренбургская область,21.2,13.6,110.8,23.9,31.6,67.1,
Пензенская область,17.4,44.6,299.4,118.4,271.3,264.3,
Самарская область,236.9,114.4,188.7,79.1,156.7,2424.8,
Саратовская область,56.3,67.9,79.8,38.1,752.9,624.5,
Ульяновская область,16.7,42.5,127.2,62.6,146.0,32.7,
Уральский федеральный округ,747.6,853.3,2126.0,1295.6,1129.3,1829.6,
Курганская область,16.8,26.3,41.3,11.3,54.7,177.7,
Свердловская область,522.5,439.5,1155.4,677.4,698.6,1207.1,
Тюменская область,86.3,246.3,80.9,136.0,238.0,194.8,
в том числе:,
Ханты-Мансийский автономный округ - Югра,51.2,124.0,9.3,5.8,130.6,58.4,
Ямало-Ненецкий автономный округ,0.2,1.9,-,0.1,2.2,50.2,
Тюменская область без АО,71.7,130.1,105.2,86.2,
Челябинская область,122.1,141.2,848.3,470.9,138.0,250.0,
Сибирский федеральный округ,562.0,1445.8,1333.5,2639.9,3246.4,2602.0,
Республика Алтай ,3.3,-,-,41.2,-,3.5,
Республика Тыва,-,17.0,-,0.0,-,-,
Республика Хакасия,3.3,7.5,4.7,1.2,0.5,19.5,
Алтайский край,41.7,318.6,529.3,556.4,640.0,758.7,
Красноярский край,44.9,56.0,85.3,228.1,1600.0,764.8,
Иркутская область,59.4,36.5,182.2,456.7,470.3,104.6,
Кемеровская область-Кузбасс,5.3,21.8,22.5,7.2,49.5,99.9,
Новосибирская область,249.8,771.6,255.6,262.4,166.2,559.3,
Омская область,19.0,150.9,64.4,691.6,110.1,182.6,
Томская область,135.3,65.8,189.5,394.9,209.8,109.1,
Дальневосточный федеральный округ,362.9,149.0,391.1,290.3,120.2,629.4,
Республика Бурятия,5.2,19.4,20.4,6.1,13.9,10.8,
Республика Саха (Якутия),2.8,19.1,7.5,2.1,4.3,3.2,
Забайкальский край,8.6,7.0,2.5,1.1,8.0,11.3,
Камчатский край,5.9,17.3,287.9,110.6,9.8,9.5,
Приморский край,67.7,19.7,23.6,48.8,34.2,172.6,
Хабаровский край,1.2,2.8,8.7,20.8,2.5,34.9,
Амурская область,8.3,33.0,-,1.3,1.7,6.9,
Магаданская область,129.0,0.0,-, -,4.4,-,
Сахалинская область,132.5,29.6,3.5,77.3,8.5,347.2,
Еврейская автономная область,1.7,1.1,37.0,22.2,33.0,33.2,
Чукотский автономный округ,-,-,-, -,-,-,

